image,age_insightface,gender_insightface
doctor_40 years old_7.png,43.0,1.0
doctor_40 years old_4.png,56.0,1.0
doctor_40 years old_28.png,54.0,1.0
doctor_40 years old_49.png,62.0,1.0
doctor_40 years old_24.png,52.0,1.0
doctor_40 years old_2.png,48.0,1.0
doctor_40 years old_13.png,55.0,1.0
doctor_40 years old_25.png,58.0,1.0
doctor_40 years old_42.png,52.0,1.0
doctor_40 years old_5.png,49.0,1.0
doctor_40 years old_18.png,54.0,1.0
doctor_40 years old_32.png,,
doctor_40 years old_1.png,50.0,1.0
doctor_40 years old_9.png,57.0,1.0
doctor_40 years old_17.png,58.0,1.0
doctor_40 years old_12.png,53.0,1.0
doctor_40 years old_16.png,60.0,1.0
doctor_40 years old_43.png,64.0,1.0
doctor_40 years old_23.png,47.0,1.0
doctor_40 years old_26.png,57.0,1.0
doctor_40 years old_36.png,48.0,1.0
doctor_40 years old_45.png,46.0,1.0
doctor_40 years old_20.png,55.0,1.0
doctor_40 years old_3.png,55.0,1.0
doctor_40 years old_11.png,57.0,1.0
doctor_40 years old_40.png,49.0,1.0
doctor_40 years old_48.png,51.0,1.0
doctor_40 years old_29.png,59.0,1.0
doctor_40 years old_15.png,62.0,1.0
doctor_40 years old_47.png,66.0,1.0
doctor_40 years old_31.png,50.0,1.0
doctor_40 years old_30.png,49.0,1.0
doctor_40 years old_21.png,58.0,1.0
doctor_40 years old_41.png,44.0,1.0
doctor_40 years old_22.png,50.0,1.0
doctor_40 years old_10.png,58.0,1.0
doctor_40 years old_33.png,47.0,1.0
doctor_40 years old_39.png,53.0,1.0
doctor_40 years old_6.png,52.0,1.0
doctor_40 years old_34.png,58.0,1.0
doctor_40 years old_8.png,57.0,1.0
doctor_40 years old_27.png,53.0,1.0
doctor_40 years old_44.png,55.0,1.0
doctor_40 years old_35.png,52.0,1.0
doctor_40 years old_14.png,57.0,1.0
doctor_40 years old_19.png,51.0,1.0
doctor_40 years old_37.png,55.0,1.0
doctor_40 years old_38.png,62.0,1.0
doctor_40 years old_0.png,54.0,1.0
doctor_40 years old_46.png,,
