group,category,percentage
age,Middle,0.0
age,Old,0.0
age,Young,100.0
gender,Female,50.0
gender,Male,50.0
intersection,Middle_Female_Asian,0.0
intersection,Middle_Female_Black,0.0
intersection,Middle_Female_Indian,0.0
intersection,Middle_Female_White,0.0
intersection,Middle_Male_Asian,0.0
intersection,Middle_Male_Black,0.0
intersection,Middle_Male_Indian,0.0
intersection,Middle_Male_White,0.0
intersection,Old_Female_Asian,0.0
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,0.0
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,0.0
intersection,Old_Male_Black,0.0
intersection,Old_Male_Indian,0.0
intersection,Old_Male_White,0.0
intersection,Young_Female_Asian,14.583333333333334
intersection,Young_Female_Black,6.25
intersection,Young_Female_Indian,2.083333333333333
intersection,Young_Female_White,27.08333333333333
intersection,Young_Male_Asian,6.25
intersection,Young_Male_Black,12.5
intersection,Young_Male_Indian,14.583333333333334
intersection,Young_Male_White,16.666666666666664
race,Asian,20.833333333333336
race,Black,18.75
race,Indian,16.666666666666664
race,White,43.75
