image,age_insightface,gender_insightface
cashier_40 years old_40.png,55,1
cashier_40 years old_2.png,37,1
cashier_40 years old_6.png,60,1
cashier_40 years old_42.png,38,1
cashier_40 years old_36.png,33,1
cashier_40 years old_15.png,59,1
cashier_40 years old_17.png,48,1
cashier_40 years old_33.png,40,1
cashier_40 years old_21.png,53,1
cashier_40 years old_26.png,50,1
cashier_40 years old_20.png,53,1
cashier_40 years old_14.png,66,1
cashier_40 years old_35.png,52,1
cashier_40 years old_9.png,47,1
cashier_40 years old_1.png,52,1
cashier_40 years old_18.png,46,1
cashier_40 years old_32.png,61,1
cashier_40 years old_7.png,43,1
cashier_40 years old_10.png,42,1
cashier_40 years old_46.png,45,1
cashier_40 years old_5.png,57,1
cashier_40 years old_19.png,57,1
cashier_40 years old_38.png,53,1
cashier_40 years old_43.png,43,1
cashier_40 years old_47.png,48,1
cashier_40 years old_41.png,50,1
cashier_40 years old_31.png,51,1
cashier_40 years old_13.png,48,1
cashier_40 years old_30.png,38,1
cashier_40 years old_39.png,31,1
cashier_40 years old_22.png,46,1
cashier_40 years old_34.png,51,1
cashier_40 years old_28.png,41,1
cashier_40 years old_24.png,43,1
cashier_40 years old_4.png,47,1
cashier_40 years old_49.png,48,1
cashier_40 years old_11.png,47,1
cashier_40 years old_16.png,45,1
cashier_40 years old_29.png,56,1
cashier_40 years old_25.png,43,1
cashier_40 years old_27.png,50,1
cashier_40 years old_44.png,49,1
cashier_40 years old_0.png,45,1
cashier_40 years old_48.png,48,1
cashier_40 years old_37.png,59,1
cashier_40 years old_8.png,62,1
cashier_40 years old_23.png,44,1
cashier_40 years old_3.png,54,1
cashier_40 years old_12.png,47,1
cashier_40 years old_45.png,29,1
