image,age_insightface,gender_insightface
"chef_male, young, asian_98.png",32.0,1.0
"chef_female, young, black_126.png",21.0,0.0
"chef_male, elderly, indian_114.png",71.0,1.0
"chef_female, elderly, asian_74.png",58.0,0.0
"chef_female, elderly, black_116.png",52.0,0.0
"chef_male, elderly, indian_123.png",71.0,1.0
"chef_male, middle aged, asian_147.png",46.0,1.0
"chef_female, elderly, indian_55.png",63.0,0.0
"chef_female, elderly, white_122.png",74.0,0.0
"chef_male, young, black_127.png",26.0,1.0
"chef_female, elderly, asian_1.png",74.0,0.0
"chef_female, middle aged, indian_106.png",61.0,0.0
"chef_female, middle aged, black_57.png",64.0,0.0
"chef_female, elderly, white_54.png",78.0,0.0
"chef_male, middle aged, asian_81.png",52.0,1.0
"chef_female, young, asian_92.png",25.0,0.0
"chef_male, middle aged, white_71.png",60.0,1.0
"chef_male, young, asian_68.png",35.0,1.0
"chef_female, young, white_107.png",26.0,0.0
"chef_male, elderly, indian_108.png",59.0,1.0
"chef_female, elderly, black_145.png",62.0,0.0
"chef_male, middle aged, white_117.png",46.0,1.0
"chef_male, middle aged, indian_113.png",38.0,1.0
"chef_male, elderly, indian_4.png",70.0,1.0
"chef_male, young, indian_11.png",32.0,1.0
"chef_male, middle aged, indian_142.png",55.0,1.0
"chef_female, elderly, indian_18.png",61.0,0.0
"chef_female, elderly, asian_77.png",74.0,0.0
"chef_male, elderly, white_97.png",66.0,1.0
"chef_female, elderly, asian_13.png",74.0,0.0
"chef_female, elderly, white_87.png",70.0,0.0
"chef_female, young, indian_23.png",26.0,0.0
"chef_female, elderly, indian_38.png",76.0,1.0
"chef_male, young, black_63.png",29.0,1.0
"chef_male, elderly, asian_19.png",55.0,1.0
"chef_male, young, indian_129.png",36.0,1.0
"chef_male, middle aged, white_52.png",51.0,1.0
"chef_male, elderly, indian_141.png",63.0,1.0
"chef_female, young, black_75.png",34.0,0.0
"chef_male, middle aged, indian_21.png",52.0,1.0
"chef_female, young, white_103.png",26.0,0.0
"chef_male, middle aged, asian_64.png",63.0,1.0
"chef_male, elderly, asian_32.png",79.0,1.0
"chef_male, middle aged, indian_56.png",46.0,1.0
"chef_male, young, indian_9.png",29.0,1.0
"chef_female, young, white_26.png",24.0,0.0
"chef_male, middle aged, black_138.png",45.0,1.0
"chef_male, middle aged, asian_65.png",37.0,1.0
"chef_female, elderly, asian_25.png",67.0,0.0
"chef_female, middle aged, white_115.png",64.0,0.0
"chef_female, elderly, asian_136.png",68.0,0.0
"chef_female, elderly, asian_84.png",72.0,1.0
"chef_male, young, black_112.png",29.0,1.0
"chef_male, elderly, black_85.png",73.0,1.0
"chef_male, young, asian_2.png",35.0,1.0
"chef_female, young, indian_120.png",22.0,0.0
"chef_male, elderly, white_42.png",73.0,1.0
"chef_female, young, black_86.png",25.0,0.0
"chef_female, elderly, indian_6.png",63.0,0.0
"chef_male, elderly, black_137.png",59.0,1.0
"chef_male, middle aged, asian_90.png",61.0,1.0
"chef_female, middle aged, black_61.png",27.0,0.0
"chef_male, elderly, white_58.png",71.0,1.0
"chef_male, young, indian_43.png",31.0,1.0
"chef_female, middle aged, indian_62.png",51.0,0.0
"chef_female, young, asian_102.png",25.0,0.0
"chef_male, elderly, black_104.png",58.0,1.0
"chef_female, middle aged, indian_12.png",64.0,0.0
"chef_female, elderly, white_144.png",72.0,0.0
"chef_female, elderly, white_135.png",75.0,0.0
"chef_male, young, asian_146.png",25.0,1.0
"chef_female, middle aged, indian_66.png",48.0,0.0
"chef_female, middle aged, white_34.png",65.0,0.0
"chef_female, young, white_79.png",29.0,0.0
"chef_female, elderly, asian_128.png",,
"chef_male, elderly, asian_33.png",73.0,1.0
"chef_female, elderly, asian_49.png",78.0,0.0
"chef_female, middle aged, white_109.png",69.0,0.0
"chef_male, middle aged, white_50.png",47.0,1.0
"chef_male, middle aged, white_149.png",51.0,1.0
"chef_female, elderly, indian_82.png",70.0,1.0
"chef_female, middle aged, black_130.png",27.0,0.0
"chef_male, middle aged, white_15.png",59.0,1.0
"chef_female, elderly, indian_143.png",76.0,1.0
"chef_female, young, white_40.png",32.0,0.0
"chef_female, middle aged, indian_95.png",24.0,0.0
"chef_male, middle aged, indian_22.png",49.0,1.0
"chef_male, elderly, asian_35.png",57.0,1.0
"chef_female, elderly, asian_67.png",70.0,1.0
"chef_male, young, indian_83.png",33.0,1.0
"chef_male, middle aged, black_70.png",49.0,1.0
"chef_male, middle aged, indian_53.png",56.0,1.0
"chef_female, elderly, asian_94.png",75.0,0.0
"chef_female, middle aged, white_37.png",56.0,0.0
"chef_male, middle aged, black_93.png",42.0,1.0
"chef_female, young, black_39.png",28.0,0.0
"chef_female, young, black_96.png",29.0,0.0
"chef_male, middle aged, black_125.png",46.0,1.0
"chef_female, middle aged, black_133.png",37.0,0.0
"chef_female, young, asian_105.png",24.0,0.0
"chef_female, young, asian_47.png",24.0,0.0
"chef_male, middle aged, indian_24.png",51.0,1.0
"chef_female, elderly, white_99.png",76.0,0.0
"chef_male, elderly, black_132.png",72.0,1.0
"chef_female, young, white_72.png",25.0,0.0
"chef_female, young, asian_31.png",26.0,0.0
"chef_female, young, indian_76.png",25.0,0.0
"chef_female, young, asian_17.png",31.0,0.0
"chef_female, young, white_5.png",26.0,0.0
"chef_female, young, asian_10.png",30.0,0.0
"chef_male, young, asian_16.png",34.0,1.0
"chef_male, elderly, asian_91.png",70.0,1.0
"chef_male, young, asian_110.png",45.0,1.0
"chef_male, middle aged, indian_14.png",36.0,1.0
"chef_female, young, white_134.png",28.0,0.0
"chef_female, elderly, indian_80.png",74.0,1.0
"chef_male, middle aged, black_119.png",42.0,1.0
"chef_female, young, white_45.png",26.0,0.0
"chef_female, middle aged, white_48.png",49.0,0.0
"chef_male, middle aged, black_36.png",38.0,1.0
"chef_male, young, black_78.png",30.0,1.0
"chef_male, elderly, asian_69.png",72.0,1.0
"chef_female, elderly, black_148.png",35.0,0.0
"chef_female, elderly, white_59.png",78.0,0.0
"chef_female, young, indian_140.png",24.0,0.0
"chef_male, middle aged, asian_51.png",62.0,1.0
"chef_female, young, asian_46.png",29.0,0.0
